Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-6.720e-03,0.092
-6.704e-03,0.092
-6.688e-03,0.092
-6.672e-03,0.092
-6.656e-03,0.092
-6.640e-03,0.088
-6.624e-03,0.088
-6.608e-03,0.092
-6.592e-03,0.088
-6.576e-03,0.088
-6.560e-03,0.092
-6.544e-03,0.092
-6.528e-03,0.088
-6.512e-03,0.088
-6.496e-03,0.088
-6.480e-03,0.088
-6.464e-03,0.084
-6.448e-03,0.088
-6.432e-03,0.088
-6.416e-03,0.084
-6.400e-03,0.08
-6.384e-03,0.084
-6.368e-03,0.084
-6.352e-03,0.084
-6.336e-03,0.084
-6.320e-03,0.076
-6.304e-03,0.08
-6.288e-03,0.076
-6.272e-03,0.08
-6.256e-03,0.076
-6.240e-03,0.08
-6.224e-03,0.072
-6.208e-03,0.08
-6.192e-03,0.08
-6.176e-03,0.072
-6.160e-03,0.076
-6.144e-03,0.076
-6.128e-03,0.076
-6.112e-03,0.072
-6.096e-03,0.072
-6.080e-03,0.068
-6.064e-03,0.072
-6.048e-03,0.072
-6.032e-03,0.068
-6.016e-03,0.068
-6.000e-03,0.068
-5.984e-03,0.068
-5.968e-03,0.064
-5.952e-03,0.064
-5.936e-03,0.06
-5.920e-03,0.064
-5.904e-03,0.064
-5.888e-03,0.06
-5.872e-03,0.06
-5.856e-03,0.06
-5.840e-03,0.056
-5.824e-03,0.056
-5.808e-03,0.06
-5.792e-03,0.056
-5.776e-03,0.052
-5.760e-03,0.056
-5.744e-03,0.056
-5.728e-03,0.056
-5.712e-03,0.052
-5.696e-03,0.052
-5.680e-03,0.052
-5.664e-03,0.052
-5.648e-03,0.052
-5.632e-03,0.052
-5.616e-03,0.048
-5.600e-03,0.048
-5.584e-03,0.048
-5.568e-03,0.048
-5.552e-03,0.044
-5.536e-03,0.044
-5.520e-03,0.044
-5.504e-03,0.04
-5.488e-03,0.04
-5.472e-03,0.04
-5.456e-03,0.04
-5.440e-03,0.04
-5.424e-03,0.036
-5.408e-03,0.036
-5.392e-03,0.036
-5.376e-03,0.032
-5.360e-03,0.032
-5.344e-03,0.032
-5.328e-03,0.032
-5.312e-03,0.036
-5.296e-03,0.028
-5.280e-03,0.032
-5.264e-03,0.028
-5.248e-03,0.028
-5.232e-03,0.024
-5.216e-03,0.024
-5.200e-03,0.028
-5.184e-03,0.02
-5.168e-03,0.024
-5.152e-03,0.02
-5.136e-03,0.02
-5.120e-03,0.016
-5.104e-03,0.016
-5.088e-03,0.012
-5.072e-03,0.02
-5.056e-03,0.012
-5.040e-03,0.016
-5.024e-03,0.012
-5.008e-03,0.012
-4.992e-03,0.016
-4.976e-03,0.008
-4.960e-03,0.008
-4.944e-03,0.008
-4.928e-03,0.008
-4.912e-03,0.004
-4.896e-03,0.004
-4.880e-03,0.004
-4.864e-03,0.004
-4.848e-03,0.004
-4.832e-03,0
-4.816e-03,0
-4.800e-03,-0.004
-4.784e-03,-0.004
-4.768e-03,-0.004
-4.752e-03,-0.004
-4.736e-03,-0.008
-4.720e-03,-0.008
-4.704e-03,-0.008
-4.688e-03,-0.008
-4.672e-03,-0.008
-4.656e-03,-0.008
-4.640e-03,-0.012
-4.624e-03,-0.012
-4.608e-03,-0.012
-4.592e-03,-0.016
-4.576e-03,-0.02
-4.560e-03,-0.016
-4.544e-03,-0.016
-4.528e-03,-0.02
-4.512e-03,-0.02
-4.496e-03,-0.02
-4.480e-03,-0.02
-4.464e-03,-0.024
-4.448e-03,-0.024
-4.432e-03,-0.02
-4.416e-03,-0.024
-4.400e-03,-0.028
-4.384e-03,-0.028
-4.368e-03,-0.028
-4.352e-03,-0.028
-4.336e-03,-0.032
-4.320e-03,-0.036
-4.304e-03,-0.032
-4.288e-03,-0.036
-4.272e-03,-0.036
-4.256e-03,-0.036
-4.240e-03,-0.04
-4.224e-03,-0.04
-4.208e-03,-0.04
-4.192e-03,-0.04
-4.176e-03,-0.04
-4.160e-03,-0.04
-4.144e-03,-0.04
-4.128e-03,-0.044
-4.112e-03,-0.044
-4.096e-03,-0.048
-4.080e-03,-0.048
-4.064e-03,-0.044
-4.048e-03,-0.048
-4.032e-03,-0.052
-4.016e-03,-0.048
-4.000e-03,-0.052
-3.984e-03,-0.052
