Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH2
-1.254e-02,-4
-1.251e-02,-4
-1.248e-02,-4
-1.245e-02,-4
-1.242e-02,-4
-1.238e-02,-4
-1.235e-02,-4
-1.232e-02,-4
-1.229e-02,-3.96
-1.226e-02,-3.96
-1.222e-02,-3.92
-1.219e-02,-3.92
-1.216e-02,-3.92
-1.213e-02,-3.88
-1.210e-02,-3.88
-1.206e-02,-3.84
-1.203e-02,-3.8
-1.200e-02,-3.8
-1.197e-02,-3.76
-1.194e-02,-3.72
-1.190e-02,-3.72
-1.187e-02,-3.68
-1.184e-02,-3.64
-1.181e-02,-3.6
-1.178e-02,-3.56
-1.174e-02,-3.56
-1.171e-02,-3.52
-1.168e-02,-3.48
-1.165e-02,-3.44
-1.162e-02,-3.36
-1.158e-02,-3.36
-1.155e-02,-3.32
-1.152e-02,-3.28
-1.149e-02,-3.2
-1.146e-02,-3.16
-1.142e-02,-3.12
-1.139e-02,-3.04
-1.136e-02,-3
-1.133e-02,-2.92
-1.130e-02,-2.88
-1.126e-02,-2.84
-1.123e-02,-2.76
-1.120e-02,-2.72
-1.117e-02,-2.64
-1.114e-02,-2.6
-1.110e-02,-2.52
-1.107e-02,-2.44
-1.104e-02,-2.4
-1.101e-02,-2.32
-1.098e-02,-2.28
-1.094e-02,-2.2
-1.091e-02,-2.16
-1.088e-02,-2.08
-1.085e-02,-2
-1.082e-02,-1.92
-1.078e-02,-1.88
-1.075e-02,-1.76
-1.072e-02,-1.72
-1.069e-02,-1.64
-1.066e-02,-1.56
-1.062e-02,-1.52
-1.059e-02,-1.4
-1.056e-02,-1.36
-1.053e-02,-1.28
-1.050e-02,-1.2
-1.046e-02,-1.12
-1.043e-02,-1.04
-1.040e-02,-0.96
-1.037e-02,-0.88
-1.034e-02,-0.8
-1.030e-02,-0.72
-1.027e-02,-0.64
-1.024e-02,-0.56
-1.021e-02,-0.48
-1.018e-02,-0.4
-1.014e-02,-0.32
-1.011e-02,-0.24
-1.008e-02,-0.16
-1.005e-02,-0.08
-1.002e-02,0
-9.984e-03,0.08
-9.952e-03,0.16
-9.920e-03,0.24
-9.888e-03,0.32
-9.856e-03,0.4
-9.824e-03,0.48
-9.792e-03,0.56
-9.760e-03,0.64
-9.728e-03,0.72
-9.696e-03,0.8
-9.664e-03,0.84
-9.632e-03,0.96
-9.600e-03,1
-9.568e-03,1.08
-9.536e-03,1.2
-9.504e-03,1.24
-9.472e-03,1.32
-9.440e-03,1.4
-9.408e-03,1.48
-9.376e-03,1.56
-9.344e-03,1.64
-9.312e-03,1.68
-9.280e-03,1.76
-9.248e-03,1.84
-9.216e-03,1.92
-9.184e-03,2
-9.152e-03,2.08
-9.120e-03,2.12
-9.088e-03,2.2
-9.056e-03,2.28
-9.024e-03,2.36
-8.992e-03,2.4
-8.960e-03,2.48
-8.928e-03,2.52
-8.896e-03,2.6
-8.864e-03,2.64
-8.832e-03,2.72
-8.800e-03,2.76
-8.768e-03,2.84
-8.736e-03,2.88
-8.704e-03,2.92
-8.672e-03,3
-8.640e-03,3.08
-8.608e-03,3.08
-8.576e-03,3.16
-8.544e-03,3.2
-8.512e-03,3.24
-8.480e-03,3.28
-8.448e-03,3.36
-8.416e-03,3.4
-8.384e-03,3.44
-8.352e-03,3.48
-8.320e-03,3.52
-8.288e-03,3.56
-8.256e-03,3.6
-8.224e-03,3.64
-8.192e-03,3.68
-8.160e-03,3.68
-8.128e-03,3.72
-8.096e-03,3.76
-8.064e-03,3.76
-8.032e-03,3.8
-8.000e-03,3.84
-7.968e-03,3.88
-7.936e-03,3.88
-7.904e-03,3.92
-7.872e-03,3.92
-7.840e-03,3.96
-7.808e-03,3.96
-7.776e-03,3.96
-7.744e-03,4
-7.712e-03,4
-7.680e-03,4
-7.648e-03,4
-7.616e-03,4
-7.584e-03,4.04
-7.552e-03,4.04
-7.520e-03,4
-7.488e-03,4.04
-7.456e-03,4
-7.424e-03,4.04
-7.392e-03,4.04
-7.360e-03,4
-7.328e-03,4
-7.296e-03,4
-7.264e-03,4
-7.232e-03,3.96
-7.200e-03,3.96
-7.168e-03,3.96
-7.136e-03,3.92
-7.104e-03,3.92
-7.072e-03,3.88
-7.040e-03,3.84
-7.008e-03,3.84
-6.976e-03,3.8
-6.944e-03,3.8
-6.912e-03,3.76
-6.880e-03,3.72
-6.848e-03,3.68
-6.816e-03,3.68
-6.784e-03,3.6
-6.752e-03,3.6
-6.720e-03,3.56
-6.688e-03,3.52
-6.656e-03,3.48
-6.624e-03,3.44
-6.592e-03,3.4
-6.560e-03,3.36
-6.528e-03,3.32
-6.496e-03,3.24
-6.464e-03,3.2
-6.432e-03,3.16
